text;oldlabel;label
terima kasih untuk tim id sulut dan yang sudah terjun melakukan pertolongan untuk pra korbn bencana alam di mdo sejak jumat dan sabtu tadi kiranya kesehatan dan kekuatan diberikan allah pada kalian brimobpoldasulut brimobindonesia banjir longsor basarnas;0;
gempa dirasakan magnitudo kedalaman kilometer maret waktu indonesia bagian barat koordinat pusat gempa berada di laut kilometer timur laut kabupaten jayapura dirasakan ih jayapura bmkg;1;
gempa magnitudo november waktu indonesia bagian barat lokasi pusat gempa berada di laut kilometer tenggara labuha kedalaman kilometer dirasakan ih labuha bmkg;1;
banggar luhut menteri perekonomian maritim ternyata pemilik mangrove dunia terbesar di dunia itu indonesia mangrove indonesia dalam kondisi rusak sehingga terjadi abrasi di pantai utara jakarta dan semarang;0;
kok tidak lihat ibu cantik di televisi pas lagi banjir kalsel ya kira ada lihat bu cantik;0;
pemudik menggunakan sepeda motor semakin ramai melintasi jalur pantura subang di minggu malam;0;
terjadi awanpanas guguran di gunung merapi tanggal maret pukul waktu indonesia bagian barat awanpanas guguran tercatat di seismogram dengan amplitudo mm dan durasi detik estimasi jarak luncur sama ke arah barat daya merapisiaga sejak november;1;
lawak awal tahun jatuhnya pesawat sriwijaya gempa di mamuju dan sejumlah di jawa banjir di kalsel amp kalimantan barat meninggalnya beberapa ulama meletusnya gunung semeru longsor di wilayah jawa amp manado kekeringan di sejumlah wilayah robohnya pesantren di cianjur amp jawa timur;0;
banjir di tangerang dan jakarta via;1;
pilihan kepala daerah serentak pada desember harus dilaksanakan dengan sangat hati hati agar tidak menjadi ruang penyebaran virus saya telah memerintahkan menteri dalam negeri dan kepala kepolisian republik indonesia untuk benar benar tegas menjalankan aturan main di pilihan kepala daerah yang sudah jelas tercantum dalam peraturan komisi pemelihan umum;0;
gempa dirasakan magnitudo kedalaman kilometer mei waktu indonesia bagian barat koordinat kamu pusat gempa berada di darat kilometer timur laut jantho aceh besar dirasakan ih sabang bmkg;1;
